AUTHOR,TITLE,ORIGINALLY PUBLISHED,GENRE,STATUS
Thomas Pynchon,Gravity’s Rainbow,1973,Fiction,READ
Thomas Pynchon,V,1963,Fiction,UNREAD
Thomas Pynchon,The Crying of Lot 49,1966,Fiction,UNREAD
Thomas Pynchon,Vineland,1990,Fiction,READ
Thomas Pynchon,Against the Day,2006,Fiction,UNREAD
Thomas Pynchon,Slow Learner,1984,Fiction,UNREAD
Thomas Pynchon,Mason & Dixon,1997,Fiction,UNREAD
Thomas Pynchon,Bleeding Edge,2013,Fiction,
Franz Kafka,The Trial,1925,Fiction,PARTIALLY READ
Roberto Bolano,2666,2004,Fiction,PARTIALLY READ
Roberto Bolano,The Spirit of Science Fiction,2016,Fiction,UNREAD
Marcel Proust,Swann’s Way,1913,Fiction,PARTIALLY READ
Marcel Proust,On Reading,1905,Fiction,UNREAD
Maya Angelou,I Know Why The Caged Bird Sings,1969,Fiction,UNREAD
Sinclair Lewis,Main Street,1920,Fiction,UNREAD
Dante Aligheiri,Inferno,1300s,Fiction,READ
Dante Aligheiri,Purgatorio,1300s,Fiction,UNREAD
Dante Aligheiri,Paradiso,1300s,Fiction,UNREAD
Willa Cather,My Antonia,1918,Fiction,READ
Willa Cather,O Pioneers!,1913,Fiction,UNREAD
Willa Cather,The Old Beauty & Others,1948,Fiction,UNREAD
Edward Bellamy,Looking Backward,1897,Fiction,READ
Herman Melville,Moby Dick,1851,Fiction,READ
Clarice Lispector,Near to the Wild Heart,1943,Fiction,READ
Mary Shelley,Frankenstein,1818,Fiction,READ
Emile Zola,Germinal,1885,Fiction,READ
Emile Zola,The Earth,1887,Fiction,UNREAD
Terry Pratchett,Going Postal,2004,Fiction,READ
Salman Rushdie,The Satanic Verses,1988,Fiction,UNREAD
Antonio Moresco,Distant Light,2013,Fiction,UNREAD
Saul Bellow,Dangling Man,1944,Fiction,UNREAD
Saul Bellow,The Victim,1947,Fiction,UNREAD
Neil Stephenson,Cryptonomicon,1999,Fiction,READ
Italo Calvino,The Complete Cosmicomics,1965,Fiction,READ
Italo Calvino,If on a Winter’s Night a Traveller,1979,Fiction,UNREAD
Don Delillo,Underworld,1997,Fiction,READ
Don Delillo,White Noise,1985,Fiction,UNREAD
John Steinbeck,The Grapes of Wrath,1939,Fiction,READ
John Steinbeck,To a God Unknown,1933,Fiction,UNREAD
Sergio De La Pava,A Naked Singularity,2008,Fiction,UNREAD
Mark Danielewski,House of Leaves,2000,Fiction,READ
Umberto Eco,The Island of the Day Before,1995,Fiction,READ
Umberto Eco,Numero Zero,2015,Fiction,READ
John Dos Passos,The U.S.A. Trilogy,1930,Fiction,PARTIALLY READ
William Hallahan,The Search for Joseph Tully,1974,Fiction,UNREAD
W.E.B. DuBois,Dark Princess,1928,Fiction,UNREAD
John Toole,A Confederacy of Dunces,1980,Fiction,READ
Robert Musil,The Man Without Qualities – Volume I,1930,Fiction,UNREAD
Robert Musil,The Man Without Qualities – Volume II,1943,Fiction,UNREAD
David Wilkerson,The Cross and the Switchblade,1963,Fiction,READ
Mark Twain,A Connecticut Yankee at King Aurthur’s Court,1889,Fiction,UNREAD
William Shakespeare,The Late Romances,,Fiction,UNREAD
Fyodor Dostoevsky,Crime and Punishment,1866,Fiction,UNREAD
Jospeh Conrad,Heart of Darkness and the Secret Sharer,1899,Fiction,READ
D.H. Lawrence,Apocalypse ,1980,Fiction,UNREAD
D.H. Lawrence,The Rainbow,1915,Fiction,UNREAD
James Joyce,A Portrait of an Artist as a Young Man,1916,Fiction,UNREAD
Vladamir Nabokov,Laughter in the Dark,1932,Fiction,UNREAD
Vladamir Nabokov,Novels: 1955 – 1962,,Fiction,UNREAD
William Faulkner,Novels: 1936 – 1940,,Fiction,UNREAD
John Darnielle,Universal Harvester,2017,Fiction,READ
John Darnielle,Devil House,2022,Fiction,READ
John Darnielle,33 1/3 – Black Sabbath,2008,Fiction,READ
C.S. Lewis,The Magician’s Nephew,1955,Fiction,READ
Douglas Coupland,Microserfs,1995,Fiction,UNREAD
William Gibson,Neuromancer,1984,Fiction,READ
Isaac Asimov,Nightfall and Other Stories,1969,Fiction,UNREAD
Isaac Asimov,Asimov’s Mysteries,1968,Fiction,UNREAD
Frederik Pohl,Black Star Rising,1986,Fiction,UNREAD
Arkady and Boris Strugatsky,Noon: 22nd Century,1961,Fiction,UNREAD
Ursula LeGuin,The Dispossessed,1974,Fiction,READ
Ursula LeGuin,Hanish Novels & Stories – Volume I,,Fiction,UNREAD
Ramez Naam,Nexus,2012,Fiction,UNREAD
Carl Sagan,Contact,1985,Fiction,UNREAD
Arthur C. Clarke ,Imperial Earth,1975,Fiction,UNREAD
Ray Bradbury,The Martian Chronicles,1950,Fiction,READ
John Varley,Steel Beach,1992,Fiction,UNREAD
J.R.R. Tolken,The Fellowship of the Ring,1954,Fiction,READ
J.R.R. Tolken,The Two Towers,1954,Fiction,READ
J.R.R. Tolken,The Return of the King,1955,Fiction,UNREAD
J.R.R. Tolken,The Hobbit,1937,Fiction,UNREAD
Mark Frost,The Secret History of Twin Peaks,2016,Fiction,UNREAD
Gabriel Garcia Marquez,Collected Stories,1983,Fiction,UNREAD
Robert Shea & Robert Anton Wilson,The Illuminatus! Trilogy,1984,Fiction,READ
Audre Lorde,The Collected Poems,1997,Poetry,PARTIALLY READ
Miguel de Cervantes Saavedra,Don Quixote,1605,Fiction,UNREAD
Henry James,The Turn of the Screw,1898,Fiction,READ
Leo Tolstoy,The Kreutzer Sonata and other Short Stories,1889,Fiction,UNREAD
Stephen Crane,The Open Boat and Other Stories,1898,Fiction,UNREAD
Edgar Lee Masters,Spoon River Anthologies,1915,Fiction,READ
Edgar Lee Masters,More Spoon River Anthologies,1915,Fiction,READ
(Various authors),Tales from the Thousand and One Nights,,Fiction,UNREAD
Jorge Luis Borges,Ficciones,1944,Fiction,UNREAD
Jeremy Scahill,Dirty Wars,2013,Non-Fiction,READ
Brian Krebs,Spam Nation,2014,Non-Fiction,UNREAD
Nina J. Eastoin,Gang of Five,2002,Non-Fiction,UNREAD
Noam Chomsky,Failed States,2006,Non-Fiction,READ
Noam Chomsky,The Indispensable Chomsky,2002,Non-Fiction,UNREAD
Noam Chomsky,The Washington Connection and Third World Fascism,1979,Non-Fiction,UNREAD
Howard Zinn,Peoples History of the United States,2009,Non-Fiction,READ
Peter Nabakov,Native American Testimony,1978,Non-Fiction,READ
Lewis Mumford,The Pentagon of Power,1970,Non-Fiction,UNREAD
Lewis Mumford,Interpretations and Forecasts,1973,Non-Fiction,UNREAD
Peter Derosa,Rebels: The Irish Uprising of 1916,1990,Non-Fiction,PARTIALLY READ
Andy Greenberg,This Machine Kills Secrets,2012,Non-Fiction,READ
Edward Snowden,Permanent Record,2019,Non-Fiction,UNREAD
Laura Poitras (and others),Astro Noise,2016,Non-Fiction,CURRENTLY READING
